datetime,outdoor_temperature_deg_celsius,relative_humidity_per_cent,wind_speed_m_per_s,diffuse_horizontal_radiation_Wh_per_m2,direct_normal_radiation_Wh_per_m2,ZONE+00_+00_+00:Zone Operative Temperature [C](Hourly),heating_J,cooling_J,heating_kWh,cooling_kWh,internal_gains_kWh,infiltration_energy_kWh,ventilation_energy_kWh,inside_conduction_energy_kWh,windows_energy_constant_temperature_kWh
2020-01-01 00:00:00,7.47,89.0,2.62,0.0,0.0,17.46063852702334,0.0,0.0,0.0,0.0,0.0,-1.5153966177987968,0.0,7.44696830190381,-5.9315716841050135
2020-01-01 01:00:00,7.34,87.0,2.62,0.0,0.0,17.510688534198692,0.0,0.0,0.0,0.0,0.0,-1.7652486720988814,0.0,5.625947022387004,-3.860698350288123
2020-01-01 02:00:00,7.12,87.0,2.62,0.0,0.0,17.52759218805013,0.0,0.0,0.0,0.0,0.0,-1.9531833444757676,0.0,4.955793801386797,-3.0026104569110292
2020-01-01 03:00:00,6.98,85.0,2.69,0.0,0.0,17.483608878286145,0.0,0.0,0.0,0.0,0.0,-2.09398392730785,0.0,4.273535557944311,-2.179551630636461
2020-01-01 04:00:00,6.75,84.0,2.76,0.0,0.0,17.395041684217617,0.0,0.0,0.0,0.0,0.0,-2.1783835088668275,0.0,3.991547192551648,-1.8131636836848206
2020-01-01 05:00:00,6.48,83.0,2.9,0.0,0.0,17.289442601045643,0.0,0.0,0.0,0.0,0.0,-2.244027706035782,0.0,4.010190274817392,-1.7661625687816098
2020-01-01 06:00:00,6.02,84.0,2.97,0.0,0.0,17.17819813835927,0.0,0.0,0.0,0.0,0.0,-2.3115558817416026,0.0,4.1139839726061105,-1.8024280908645078
2020-01-01 07:00:00,5.99,85.0,2.69,0.0,0.0,19.386295698228917,96955036.76413772,0.0,26.93195465670492,0.0,0.0,-3.2022422886039625,-0.3206737940672038,4.2044238925811985,-27.613462466614955
2020-01-01 08:00:00,5.52,85.0,2.76,0.0,0.0,19.003733914137506,53434283.55334372,0.0,14.842856542595477,0.0,0.0,-3.1594526083868604,-9.798090733299938,-8.281089897346757,6.395776696438077
2020-01-01 09:00:00,5.83,84.0,2.9,40.25,201.52,19.002089754781103,87885151.37470831,0.0,24.412542048530085,0.0,0.0,-3.009123172692969,-16.955271569867964,-8.795847394593991,4.3477000886248405
